OBJECTID,Borough,Block,Lot,DESIG_ADDRESS,BBL,LM_NAME,LP_NUMBER,SITE_DESC,SITE_STATUS,LM_NAME2,DESIG_DATE,LM_TYPE,REPORT_URL,CD,Council,Latitude,Longitude,BCT2020,NTA2020,Shape_Leng,Shape_Area,Category,Neighborhood,Popularity_Tier
195,MN,859,6,11-13 East 29th Street,1008590006,Expanded Site of the Church of the Transfiguration,LP-02133,"Amended Landmark Site to include Borough of Manhattan Tax Map Block 859, Lot 12 in part, consisting of the land under the chancel.",Designated,also known as the Little Church around the Corner,7/26/2005,Individual Landmark,,105,2,40.7451495,-73.9859073,1007400,MN0501,548.0962487,16509.64719,Religious,Hell's Kitchen,Tier 4: Neighborhood Staple
179,MN,557,8,804 Broadway,1005570008,Grace Church Rectory,LP-00204,"Borough of Manhattan Tax Map Block 557, Lot 8.",Designated,,3/15/1966,Individual Landmark,,102,2,40.7322908,-73.9908965,1006100,MN0202,425.8065195,8492.455897,Religious,Upper East Side,Tier 4: Neighborhood Staple
178,MN,466,26,East 10th Street at Second Avenue,1004660026,Saint Mark's-in-the-Bowery Church,LP-00229,"Borough of Manhattan, Tax Map Block 466, Lot 26.",Designated,,4/19/1966,Individual Landmark,,103,2,40.730317,-73.9870902,1004002,MN0303,758.3868607,34394.73105,Religious,Upper East Side,Tier 4: Neighborhood Staple
167,MN,67,30,44 John Street,1000670030,John Street Methodist Church,LP-00055,"Borough of Manhattan Tax Map Block 67, Lot 30.",Designated,,12/21/1965,Individual Landmark,,101,1,40.7090949,-74.0081481,1001502,MN0101,255.8330232,3667.256394,Religious,Upper East Side,Tier 4: Neighborhood Staple
165,MN,441,12,414 East 14th Street,1004410012,Grace Chapel Hospital,LP-00227,"Borough of Manhattan Tax Map Block 441, Lot 12.",Designated,now Immaculate Conception Church Clergy House,6/7/1966,Individual Landmark,,103,2,40.730835,-73.9819702,1003400,MN0303,260.8716627,4249.248845,Religious,Greenwich Village,Tier 5: Ultra Niche / Insider Knowledge
154,MN,463,15,12 Saint Mark's Place,1004630015,German-American Shooting Society Clubhouse,LP-02094,"Borough of Manhattan Tax Map Block 463, Lot 15.",Designated,,6/26/2001,Individual Landmark,,103,2,40.729008,-73.9893094,1003800,MN0303,296.1906986,3174.477299,Residential,Harlem,Tier 5: Ultra Niche / Insider Knowledge
151,MN,267,19,290 Henry Street,1002670019,All Saints' Free Church,LP-00088,"Borough of Manhattan Tax Map Block 267, Lot 19.",Designated,"later Saint Augustine's Chapel, now Saint Augustine's Episcopal Church",8/16/1966,Individual Landmark,,103,1,40.713653,-73.9831256,1000202,MN0302,579.3050073,18600.78475,Religious,Greenwich Village,Tier 4: Neighborhood Staple
132,MN,999,12,133-145 West 46th Street,1009990012,Church of Saint Mary-the-Virgin Complex,LP-01562,"Borough of Manhattan Tax Map Block 999, Lot 12.",Designated,,12/19/1989,Individual Landmark,,105,4,40.7583487,-73.9836051,1012500,MN0502,666.5658532,22679.31777,Religious,Upper East Side,Tier 4: Neighborhood Staple
129,MN,1067,24,417-419 West 57th Street,1010670024,Catholic Apostolic Church,LP-02077,"Borough of Manhattan Tax Map Block 1067, Lot 24.",Designated,now Church for All Nations,2/27/2001,Individual Landmark,,104,6,40.7684799,-73.9863355,1013900,MN0402,313.4975931,5322.637532,Religious,Upper East Side,Tier 4: Neighborhood Staple
123,MN,897,53,Rutherford Place at East 16th Street,1008970053,Saint George's Church,LP-00244,"Borough of Manhattan Tax Map Block 897, Lot 53.",Designated,,6/20/1967,Individual Landmark,,106,2,40.7343515,-73.9850039,1004800,MN0602,563.9413493,17979.66384,Religious,Harlem,Tier 4: Neighborhood Staple
1504,BK,405,51,233 Butler Street (aka 231-237 Butler Street),3004050051,"American Society for the Prevention of Cruelty to Animals (ASPCA) Brooklyn Office, Shelter, and Garage",LP-02637,"Borough of Brooklyn Tax Map Block 405, Lot 51 in part, and a portion of the Butler Street sidewalk in front of said lot",Designated,,10/29/2019,Individual Landmark,,306,39,40.6822122,-73.9865191,3007100,BK0601,389.4803093,9145.243086,Commercial,Bed-Stuy,Tier 4: Neighborhood Staple
1469,BK,2447,36,"209 Havemeyer Street, Brooklyn (aka 257 South 5th Street)",3024470036,The Dime Savings Bank of Williamsburgh,LP-02598,"Borough of Brooklyn Tax Map Block 2447, Lot 36 in part",Designated,,3/27/2018,Individual Landmark,,301,34,40.7095981,-73.9579247,3052500,BK0102,334.6763819,6809.975122,Commercial,Bed-Stuy,Tier 4: Neighborhood Staple
1371,MN,1279,28,50 Vanderbilt Avenue,1012790028,Yale Club of New York City,LP-02579,"Borough of Manhattan Tax Map Block 1279, Lot 28",Designated,,11/22/2016,Individual Landmark,,105,4,40.754,-73.9775244,1009400,MN0502,411.9720171,10582.41696,Other,Upper East Side,Tier 5: Ultra Niche / Insider Knowledge
1349,BK,1390,44,1117 Eastern Parkway,3013900044,East New York Savings Bank Building,LP-02472,"Borough of Brooklyn Tax Map Block 1390, Lot 44",Designated,,3/8/2016,Individual Landmark,,308,35,40.6692893,-73.9313107,3035101,BK0802,447.2290004,10667.87879,Commercial,Brooklyn Heights,Tier 4: Neighborhood Staple
1340,BK,1909,0,580 and 582-584 Myrtle Avenue,0,M. H. Renken Dairy Company Office Building and Engine Room Building,LP-02519,Too long,Designated,,6/16/2015,Individual Landmark,,302,35,40.6938058,-73.9612306,3019300,BK0204,275.0643741,4609.373121,Commercial,DUMBO,Tier 4: Neighborhood Staple
1284,BK,0,0,9 DeKalb Avenue,0,Dime Savings Bank,LP-01907,Too long,Designated,,7/19/1994,Individual Landmark,,302,33,40.690402,-73.9823922,3001502,BK0202,739.0341057,29776.31093,Commercial,Bed-Stuy,Tier 4: Neighborhood Staple
1262,MN,153,18,51 Chambers Street,1001530018,Emigrant Industrial Savings Bank Building,LP-01438,"Borough of Manhattan, Tax Map Block 153, Lot 1 in part consisting of the land on which the described building is situated.",Designated,,7/9/1985,Individual Landmark,,101,1,40.714,-74.0051367,1003100,MN0102,536.9640319,17880.05472,Commercial,Harlem,Tier 4: Neighborhood Staple
1234,BK,2111,7501,1 Hanson Place,3021117501,Williamsburgh Savings Bank Building,LP-00971,"Borough of Brooklyn Tax Map Block 2111, Lot 1 in part.",Designated,,11/15/1977,Individual Landmark,,302,35,40.68551,-73.9777242,3003500,BK0203,579.687429,17842.79205,Commercial,Bed-Stuy,Tier 4: Neighborhood Staple
1196,MN,1,10,"Nolan Park, west of Barry Road",1000010010,Commanding Officer's Quarters,LP-00546,"Borough of Manhattan Tax Map Block 1, Lot 10 in part, consisting of the land on which the described building is situated.",Designated,,9/19/1967,Individual Landmark,,101,1,40.6887742,-74.0187035,1000500,MN0191,256.5019826,3863.96691,Commercial,Tribeca,Tier 4: Neighborhood Staple
1164,MN,1260,20,27 West 44th Street,1012600020,Harvard Club of New York City,LP-00259,"Borough of Manhattan Tax Map Block 1260, Lot 20.",Designated,,1/11/1967,Individual Landmark,,105,4,40.7556969,-73.9811622,1009600,MN0502,634.8057175,21885.81092,Other,Hell's Kitchen,Tier 5: Ultra Niche / Insider Knowledge
